spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
3k7JQg9M5rZJHveFYq0y9J,2020-10-01 17:37:54,android,234880,Holy Mountain,Noel Gallagher's High Flying Birds,Holy Mountain,fwdbtn,trackdone,TRUE,FALSE
3NrAMPb3hlWCmw9kepqBmM,2020-10-06 14:51:19,android,95070,Mischief Managed!,John Williams,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,clickrow,endplay,FALSE,FALSE
6Vcwr9tb3ZLO63F8DL8cqu,2020-10-08 18:13:57,android,341626,Tangled up in Blue,Bob Dylan,Blood On The Tracks,trackdone,trackdone,TRUE,FALSE
12VWzyPDBCc8fqeWCAfNwR,2020-10-09 17:10:30,android,484,One Dance,Drake,Views,fwdbtn,fwdbtn,TRUE,FALSE
1p50TN8eyDm3mJHZVgcTxm,2020-10-11 21:57:00,android,23,Au Revoir,OneRepublic,Native,fwdbtn,fwdbtn,TRUE,FALSE
6pbAfIcd0IQXTE3a3LHURA,2020-10-14 16:14:20,android,167400,The Norwegian Ridgeback and a Change of Season,John Williams,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,trackdone,trackdone,TRUE,FALSE
2u6fRGcaBhpI4uNBHpGv0b,2020-10-15 20:32:23,android,1891,Hallelujah,Rufus Wainwright,Vibrate: The Best Of,fwdbtn,fwdbtn,TRUE,FALSE
0c4IEciLCDdXEhhKxj4ThA,2020-10-17 21:41:57,android,1691,Madness,Muse,The 2nd Law,fwdbtn,fwdbtn,TRUE,FALSE
1dbQNSAXlOEtngcIZAOfPO,2020-10-22 17:48:41,android,135973,Buddy,Willie Nelson,Good Times,trackdone,trackdone,TRUE,FALSE
52rWZajfmiprmZklqkpXAR,2020-10-26 07:57:13,android,170840,Wanted Man,Johnny Cash,Little Fauss and Big Halsy (Original Soundtrack Recording),trackdone,trackdone,TRUE,FALSE
